date,week,time_of_day,enclosure,taxon,length_um
22.03.2023,0,D,E01,Nauplien,211.3
22.03.2023,0,D,E01,Nauplien,213.8
22.03.2023,0,D,E01,Nauplien,287.7
22.03.2023,0,D,E01,Nauplien,150
22.03.2023,0,D,E01,Nauplien,201.3
22.03.2023,0,D,E01,Nauplien,225.6
22.03.2023,0,D,E01,Nauplien,266
22.03.2023,0,D,E01,Nauplien,119.5
22.03.2023,0,D,E01,Nauplien,305.2
22.03.2023,0,D,E01,Nauplien,123.5
22.03.2023,0,D,E01,Eudiaptomus gracilis,987.9
22.03.2023,0,D,E01,Eudiaptomus gracilis,861
22.03.2023,0,D,E01,Eudiaptomus gracilis,908.2
22.03.2023,0,D,E01,Eudiaptomus gracilis,911.2
22.03.2023,0,D,E01,Eudiaptomus gracilis,866
22.03.2023,0,D,E01,Eudiaptomus gracilis,960.2
22.03.2023,0,D,E01,Eudiaptomus gracilis,902.2
22.03.2023,0,D,E01,Eudiaptomus gracilis,858.9
22.03.2023,0,D,E01,Eudiaptomus gracilis,864.7
22.03.2023,0,D,E01,Eudiaptomus gracilis,813.5
22.03.2023,0,D,E01,Cyclops spec.,811.5
22.03.2023,0,D,E01,Cyclops spec.,867.9
22.03.2023,0,D,E01,Cyclops spec.,1016.7
22.03.2023,0,D,E01,Cyclops spec.,986.2
22.03.2023,0,D,E01,Cyclops spec.,947.2
22.03.2023,0,D,E01,Cyclops spec.,826.9
22.03.2023,0,D,E01,Cyclops spec.,920
22.03.2023,0,D,E01,Cyclops spec.,999.5
22.03.2023,0,D,E01,Cyclops spec.,827
22.03.2023,0,D,E01,Cyclops spec.,1009.5
22.03.2023,0,D,E01,cyclopoide Copepoditstadien,761.7
22.03.2023,0,D,E01,cyclopoide Copepoditstadien,442.2
22.03.2023,0,D,E01,cyclopoide Copepoditstadien,517.2
22.03.2023,0,D,E01,cyclopoide Copepoditstadien,553.5
22.03.2023,0,D,E01,cyclopoide Copepoditstadien,656.2
22.03.2023,0,D,E01,cyclopoide Copepoditstadien,535.2
22.03.2023,0,D,E01,cyclopoide Copepoditstadien,544.2
22.03.2023,0,D,E01,cyclopoide Copepoditstadien,672.7
22.03.2023,0,D,E01,cyclopoide Copepoditstadien,524
22.03.2023,0,D,E01,cyclopoide Copepoditstadien,570.9
22.03.2023,0,D,E01,Eudiaoptums Copepoditstadien ,765.2
22.03.2023,0,D,E01,Eudiaoptums Copepoditstadien ,633.5
22.03.2023,0,D,E01,Eudiaoptums Copepoditstadien ,601.5
22.03.2023,0,D,E02,Nauplien,324.7
