date,week,time_of_day,enclosure,taxon,counts,num_lengths,avg_length_um,sd_length_um,avg_length_mm,sd_length_mm,conversion_factor,counts/L
26.04.2023,1,D,E01,N,328,100,163.739,51.50823195,0.163739,0.051508232,2.767910679,118.5009337
26.04.2023,1,D,E01,cyclo. Cop.,117,100,494.555,109.8171532,0.494555,0.109817153,2.767910679,42.27015014
26.04.2023,1,D,E01,Eud. Cop.,52,52,481.8326923,118.3367308,0.481832692,0.118336731,2.767910679,18.7867334
26.04.2023,1,D,E01,E.g.,15,15,791.0666667,72.50381928,0.791066667,0.072503819,2.767910679,5.419250018
26.04.2023,1,D,E01,C. Spp.,9,9,904.4111111,169.5059987,0.904411111,0.169505999,2.767910679,3.251550011
26.04.2023,1,D,E02,N,358,100,179.558,57.75848388,0.179558,0.057758484,5.572632447,64.24252871
26.04.2023,1,D,E02,E.g.,84,84,894.8369048,66.66687691,0.894836905,0.066666877,5.572632447,15.07366596
26.04.2023,1,D,E02,Eud. Cop.,130,100,459.097,77.23256817,0.459097,0.077232568,5.572632447,23.32829255
26.04.2023,1,D,E02,cyclo. Cop.,35,35,478.4257143,94.85485613,0.478425714,0.094854856,5.572632447,6.280694148
26.04.2023,1,D,E02,C. Spp.,19,19,1002.178947,135.6888744,1.002178947,0.135688874,5.572632447,3.40951968
26.04.2023,1,D,E02,B.l.,2,2,477.55,48.71965722,0.47755,0.048719657,5.572632447,0.358896808
26.04.2023,1,D,E07,N,211,100,233.814,63.86483679,0.233814,0.063864837,4.728809038,44.62011435
26.04.2023,1,D,E07,E.g.,119,100,834.468,55.47868984,0.834468,0.05547869,4.728809038,25.16489861
26.04.2023,1,D,E07,Eud. Cop.,122,100,419.002,56.05475134,0.419002,0.056054751,4.728809038,25.79930782
26.04.2023,1,D,E07,cyclo. Cop.,40,40,515.6925,104.6759355,0.5156925,0.104675936,4.728809038,8.45878945
26.04.2023,1,D,E07,C. Spp.,14,14,780.9428571,120.5451126,0.780942857,0.120545113,4.728809038,2.960576307
26.04.2023,1,D,E07,B.c.,1,1,423.2,0,0.4232,0,4.728809038,0.211469736
26.04.2023,1,D,E07,B.l.,3,3,337.2,32.48461174,0.3372,0.032484612,4.728809038,0.634409209
26.04.2023,1,D,E08,N,310,100,238.574,54.01803406,0.238574,0.054018034,29.18836142,10.62067156
26.04.2023,1,D,E08,E.g.,6,6,823.3,170.7048916,0.8233,0.170704892,29.18836142,0.205561385
26.04.2023,1,D,E08,Eud. Cop.,94,94,414.156383,63.67387601,0.414156383,0.063673876,29.18836142,3.220461699
26.04.2023,1,D,E08,cyclo. Cop.,14,14,480.5071429,78.08631776,0.480507143,0.078086318,29.18836142,0.479643232
26.04.2023,1,D,E08,C. Spp.,1,1,949.5,0,0.9495,0,29.18836142,0.034260231
26.04.2023,1,D,E08,B.l.,103,100,309.86,53.24197478,0.30986,0.053241975,29.18836142,3.528803777
26.04.2023,1,D,E08,Alona Spp.,1,1,252.3,0,0.2523,0,29.18836142,0.034260231
26.04.2023,1,D,E09,N,209,100,212.067,62.79411935,0.212067,0.062794119,9.723790561,21.49367561
26.04.2023,1,D,E09,E.g.,101,100,845.518,100.7595191,0.845518,0.100759519,9.723790561,10.38689587
26.04.2023,1,D,E09,Eud. Cop.,47,46,458.6891304,86.09464618,0.45868913,0.086094646,9.723790561,4.833505998
26.04.2023,1,D,E09,cyclo. Cop.,13,13,490.5461538,88.87623994,0.490546154,0.08887624,9.723790561,1.336927191
26.04.2023,1,D,E09,C. Spp.,3,3,1069.233333,97.40232715,1.069233333,0.097402327,9.723790561,0.308521659
26.04.2023,1,D,E09,B.l.,10,10,383.31,87.64630245,0.38331,0.087646302,9.723790561,1.028405532
26.04.2023,1,D,E10,N,1044,100,186.029,51.34813304,0.186029,0.051348133,7.275853187,143.4883268
26.04.2023,1,D,E10,E.g.,97,97,792.7402062,80.70411449,0.792740206,0.080704114,7.275853187,13.33176983
26.04.2023,1,D,E10,Eud. Cop.,75,75,447.8746667,61.1254052,0.447874667,0.061125405,7.275853187,10.30806945
26.04.2023,1,D,E10,cyclo. Cop.,171,100,521.027,114.8103899,0.521027,0.11481039,7.275853187,23.50239836
26.04.2023,1,D,E10,C. Spp.,22,22,978.5136364,141.7811872,0.978513636,0.141781187,7.275853187,3.023700373
26.04.2023,1,D,E10,B.l.,20,20,369.63,95.78760551,0.36963,0.095787606,7.275853187,2.748818521
